DQA_U44785.1	Contig48	87.40	246	31	0	1	246	1913466	1913711	2e-74	 283
DQA_EF554078.2	Contig48	88.89	234	26	0	1	234	1913484	1913717	4e-76	 289
DQB_AM259941.1	Contig48	83.82	272	40	4	1	270	1937338	1937069	5e-66	 255
DQB_AM259941.1	Contig48	84.42	199	22	8	40	237	1842481	1842291	2e-45	 187
DQB_AM259941.1	Contig48	80.67	238	33	12	4	236	2002566	2002795	5e-41	 172
DQB_AB763932.1	Contig48	89.30	271	27	2	1	270	1937338	1937069	5e-91	 339
DQB_AB763932.1	Contig48	90.95	199	11	7	40	236	2002602	2002795	1e-67	 261
DQB_AB763932.1	Contig48	88.64	220	15	10	19	237	1842501	1842291	4e-67	 259
DQB_AF016908.1	Contig48	87.01	231	28	2	1	230	1937328	1937099	4e-67	 259
DQB_AF016908.1	Contig48	84.98	233	24	9	10	240	1842500	1842277	4e-57	 226
DQB_AF016908.1	Contig48	83.12	237	32	8	10	243	2002582	2002813	4e-52	 209
DRA_JN255203.1	Contig48	94.72	246	13	0	1	246	1737500	1737745	2e-104	 383
DRA_JN255203.1	Contig48	94.31	246	14	0	1	246	1799016	1799261	1e-102	 377
DRA_L47173.1	Contig48	89.02	246	27	0	1	246	1737500	1737745	5e-81	 305
DRA_L47173.1	Contig48	88.62	246	28	0	1	246	1799016	1799261	2e-79	 300
DRB_AB490457.1	Contig48	88.66	247	14	14	19	263	1842499	1842265	5e-76	 289
DRB_AB490457.1	Contig48	90.70	215	18	2	24	237	1937313	1937100	7e-75	 285
DRB_AB490457.1	Contig48	86.31	263	25	11	4	263	2002568	2002822	4e-72	 276
DRB_X98579.1	Contig48	84.96	246	23	14	27	270	1842493	1842260	2e-60	 237
DRB_X98579.1	Contig48	86.79	212	24	2	41	250	1937298	1937089	2e-59	 233
DRB_X98579.1	Contig48	83.95	243	31	8	30	270	2002591	2002827	4e-57	 226
DRB_AM086041.1	Contig48	84.21	266	31	10	5	270	1842514	1842260	9e-64	 248
DRB_AM086041.1	Contig48	86.73	211	26	2	41	250	1937298	1937089	2e-59	 233
DRB_AM086041.1	Contig48	84.36	243	30	8	30	270	2002591	2002827	9e-59	 231
DRB_U44777.1	Contig48	85.84	219	31	0	19	237	1937318	1937100	2e-59	 233
DRB_U44777.1	Contig48	82.77	267	35	11	1	267	1842516	1842261	1e-57	 228
DRB_U44777.1	Contig48	81.11	270	40	11	1	267	2002565	2002826	5e-51	 206
